"time","ta","tb","tcl","tcr","tsk","scr","ssk","m","hfcs","eres","cres","dry","esk"
0,20,36.33499995761883,28.52089393117483,36.8,33.7,13.26138814577258,-36.08722864060559,58.2,39.08138999999993,4.716501854227497,1.14072,66.82717508161517,8.341443558990351
60,20,36.34329666178752,28.45665307433711,36.80616954548457,33.59573228681816,10.40738728727104,-32.65439795793981,58.2,41.93539085850147,4.716501854227497,1.14072,66.31069951588452,8.279089300556754
120,20,36.34370792195084,28.39638558747009,36.81100287025597,33.49792738387515,8.182135014450353,-29.88658799297295,58.2,44.16064313132215,4.716501854227497,1.14072,65.82634576006524,8.220885364229868
180,20,36.33941879466934,28.34001178458915,36.81479458065173,33.40645336495046,6.43373503477499,-27.63109465145639,58.2,45.90904311099752,4.716501854227497,1.14072,65.3734397465975,8.166698015856413
240,20,36.33207548770821,28.287263454092,36.81776002446102,33.32087268754261,5.05461821946637,-25.7778555593586,58.2,47.28815992630614,4.716501854227497,1.14072,64.94979656065304,8.116218925011694
300,20,36.32270933506653,28.23777420631273,36.82008230018869,33.24058890881155,3.957306951787857,-24.236030932225,58.2,48.38547119398465,4.716501854227497,1.14072,64.55244777417828,8.069054352031372
360,20,36.31193344304564,28.19118228601875,36.8218962481655,33.16501349488033,3.078881861766618,-22.93939442764497,58.2,49.26389628400589,4.716501854227497,1.14072,64.17846721111704,8.024823500533817
420,20,36.30013756062723,28.14715880901163,36.82330388410076,33.09361157042355,2.372762834692224,-21.83836574998724,58.2,49.97001531108028,4.716501854227497,1.14072,63.82519692144418,7.983184139623337
480,20,36.287592815783,28.10541593559071,36.82438570294956,33.02591511206558,1.80298177328519,-20.89435452304275,58.2,50.53979637248732,4.716501854227497,1.14072,63.49031195451429,7.943838941015774
540,20,36.27447311944378,28.06570470596489,36.82520165812165,32.96151937951747,1.343131046012985,-20.07868730310663,58.2,50.99964709975952,4.716501854227497,1.14072,63.17180223938809,7.906532163478059
600,20,36.26092254513367,28.02781091442312,36.82580274430823,32.9000761764195,0.9712017195301215,-19.36740715835017,58.2,51.37157642624238,4.716501854227497,1.14072,62.86793886446949,7.871044720123066
660,20,36.24704743407568,27.99155122745976,36.82622930680714,32.84128751631155,0.6700362005314062,-18.74169017673672,58.2,51.6727419452411,4.716501854227497,1.14072,62.57724243679729,7.837189685180529
720,20,36.2329321526877,27.9567688343266,36.82651420667104,32.78489853850548,0.4258640431437257,-18.18634123235817,58.2,51.91691410262878,4.716501854227497,1.14072,62.29844779585645,7.804807539130495
780,20,36.21864345960428,27.92332975838026,36.82668401011071,32.730691502141,0.227702879784772,-17.68916102603626,58.2,52.11507526598773,4.716501854227497,1.14072,62.03047411304183,7.773762178982156
840,20,36.20423386366833,27.8911189055703,36.82676010235173,32.6784793597139,0.06682293930057881,-17.24037455538665,58.2,52.27595520647193,4.716501854227497,1.14072,61.77239295669165,7.743936805166928
900,20,36.1897452655229,27.86003677876154,36.82675980206007,32.62810041471843,-0.06376090886735142,-16.83209322821073,58.2,52.40653905463986,4.716501854227497,1.14072,61.52340175428248,7.715230528568108
960,20,36.17521188637618,27.82999685492108,36.82669726637857,32.57941405743144,-0.1696925604116615,-16.45788757676316,58.2,52.51247070618417,4.716501854227497,1.14072,61.282802613037,7.687555669910322
1020,20,36.16065997753467,27.8009246339139,36.82658371897519,32.53229921259477,-0.2553924254736444,-16.11266064901114,58.2,52.59817057124615,4.716501854227497,1.14072,61.04999456362404,7.660836656633253
1080,20,36.1461109599673,27.77275498353425,36.82642833160367,32.48665002779052,-0.3244316973425683,-15.79224973421255,58.2,52.66720984311507,4.716501854227497,1.14072,60.82445218395184,7.635007393375784
1140,20,36.13158477727107,27.74542901215451,36.82623909256741,32.44237079879232,-0.3798947827301049,-15.49303579566945,58.2,52.72267292850261,4.716501854227497,1.14072,60.60570047274586,7.610008251426198
1200,20,36.11710280304347,27.71889199474256,36.82602345049864,32.39937260406694,-0.4246429001104275,-15.21166120810238,58.2,52.76742104588293,4.716501854227497,1.14072,60.39329818483067,7.585784069154649
1260,20,36.10267766591018,27.69309827013236,36.8257865425041,32.35758123545043,-0.4606084631465066,-14.94577889174018,58.2,52.80338660891901,4.716501854227497,1.14072,60.18687697184598,7.56228852881322
1320,20,36.08831574436957,27.66800862217579,36.82553191901814,32.31693294973489,-0.4890959453212886,-14.69372792432898,58.2,52.83187409109379,4.716501854227497,1.14072,59.98612035560137,7.539481659821401
1380,20,36.07402762116141,27.64358493371525,36.8252634677266,32.2773658040943,-0.5115504834201019,-14.453717187355,58.2,52.85432862919261,4.716501854227497,1.14072,59.79072090811678,7.517324908430826
1440,20,36.059821791327,27.61979291594749,36.82498434245846,32.23882407591844,-0.5291307696908376,-14.22427672337434,58.2,52.87190891546334,4.716501854227497,1.14072,59.60040206414129,7.495783574696389
1500,20,36.04570272502722,27.59660230972338,36.82469675209767,32.20125858635701,-0.5426286974426873,-14.00433979650205,58.2,52.88540684321519,4.716501854227497,1.14072,59.41491969849841,7.474826941218833
